frame,id,bb_left,bb_top,bb_width,bb_height,conf,x,y,z
1,1,1689.0,385.0,146.62,332.71,1,-1,-1,-1
1,2,1303.0,503.0,61.514,139.59,1,-1,-1,-1
1,3,1258.0,569.0,40.123,91.049,1,-1,-1,-1
1,4,31.0,525.0,113.37,257.27,1,-1,-1,-1
1,5,1800.0,483.0,94.66,214.81,1,-1,-1,-1
2,1,1689.0,385.0,146.62,332.71,1,-1,-1,-1
2,2,1312.0,503.0,61.514,139.59,1,-1,-1,-1
2,3,1254.0,537.0,52.0,118.0,1,-1,-1,-1
2,4,55.0,542.0,94.66,214.81,1,-1,-1,-1
2,5,1744.0,476.0,123.42,280.06,1,-1,-1,-1
3,1,1664.0,418.0,135.42,307.29,1,-1,-1,-1
3,2,1312.0,503.0,61.514,139.59,1,-1,-1,-1
3,3,1234.0,415.0,103.17,234.13,1,-1,-1,-1
3,4,51.0,555.0,87.838,199.32,1,-1,-1,-1
3,5,1776.0,473.0,113.37,257.27,1,-1,-1,-1
4,1,1668.0,371.0,159.84,362.7,1,-1,-1,-1
4,2,1305.0,500.0,67.474,153.11,1,-1,-1,-1
4,3,1852.0,505.0,30.903,70.127,1,-1,-1,-1
4,4,58.0,566.0,79.918,181.35,1,-1,-1,-1
4,5,1759.0,473.0,113.37,257.27,1,-1,-1,-1
5,1,1643.0,396.0,159.84,362.7,1,-1,-1,-1
5,2,1318.0,537.0,52.0,118.0,1,-1,-1,-1
5,3,1848.0,505.0,30.903,70.127,1,-1,-1,-1
5,5,1692.0,371.0,159.84,362.7,1,-1,-1,-1
6,1,1666.0,385.0,146.62,332.71,1,-1,-1,-1
6,2,1318.0,537.0,52.0,118.0,1,-1,-1,-1
6,3,1849.0,510.0,28.302,64.224,1,-1,-1,-1
6,4,107.0,494.0,103.17,234.13,1,-1,-1,-1
6,5,1741.0,473.0,113.37,257.27,1,-1,-1,-1
7,1,1668.0,371.0,159.84,362.7,1,-1,-1,-1
7,2,1316.0,489.0,67.474,153.11,1,-1,-1,-1
7,3,1849.0,510.0,28.302,64.224,1,-1,-1,-1
7,4,159.0,550.0,40.123,91.049,1,-1,-1,-1
7,5,1351.0,506.0,56.686,128.63,1,-1,-1,-1
8,1,1668.0,371.0,159.84,362.7,1,-1,-1,-1
8,2,1322.0,494.0,61.514,139.59,1,-1,-1,-1
8,3,1848.0,505.0,30.903,70.127,1,-1,-1,-1
8,4,123.0,494.0,103.17,234.13,1,-1,-1,-1
8,5,257.0,455.0,113.37,257.27,1,-1,-1,-1
9,1,1666.0,385.0,146.62,332.71,1,-1,-1,-1
9,2,1326.0,489.0,67.474,153.11,1,-1,-1,-1
9,3,1848.0,505.0,30.903,70.127,1,-1,-1,-1
9,4,142.0,521.0,52.0,118.0,1,-1,-1,-1
9,5,1727.0,418.0,135.42,307.29,1,-1,-1,-1
10,1,1689.0,385.0,146.62,332.71,1,-1,-1,-1
10,2,1326.0,500.0,67.474,153.11,1,-1,-1,-1
10,3,266.0,463.0,103.17,234.13,1,-1,-1,-1
10,4,146.0,515.0,56.686,128.63,1,-1,-1,-1
10,5,1278.0,545.0,47.794,108.46,1,-1,-1,-1
11,1,1689.0,385.0,146.62,332.71,1,-1,-1,-1
11,2,1326.0,500.0,67.474,153.11,1,-1,-1,-1
11,3,1278.0,545.0,47.794,108.46,1,-1,-1,-1
11,4,171.0,481.0,26.0,59.0,1,-1,-1,-1
11,5,266.0,463.0,103.17,234.13,1,-1,-1,-1
12,1,1689.0,408.0,146.62,332.71,1,-1,-1,-1
12,2,1326.0,490.0,73.864,167.61,1,-1,-1,-1
12,3,1837.0,351.0,103.17,234.13,1,-1,-1,-1
12,4,-8.0,290.0,207.45,470.74,1,-1,-1,-1
12,5,1619.0,396.0,159.84,362.7,1,-1,-1,-1
13,1,1689.0,385.0,146.62,332.71,1,-1,-1,-1
13,2,1867.0,391.0,30.903,70.127,1,-1,-1,-1
13,3,1326.0,490.0,73.864,167.61,1,-1,-1,-1
13,4,151.0,501.0,28.302,64.224,1,-1,-1,-1
13,5,1643.0,408.0,146.62,332.71,1,-1,-1,-1
14,1,1668.0,371.0,159.84,362.7,1,-1,-1,-1
14,2,1867.0,391.0,30.903,70.127,1,-1,-1,-1
14,3,1326.0,490.0,73.864,167.61,1,-1,-1,-1
14,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
14,5,1717.0,396.0,159.84,362.7,1,-1,-1,-1
15,1,1668.0,371.0,159.84,362.7,1,-1,-1,-1
15,2,1825.0,535.0,33.737,76.557,1,-1,-1,-1
15,3,1867.0,393.0,26.0,59.0,1,-1,-1,-1
15,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
15,5,1336.0,500.0,67.474,153.11,1,-1,-1,-1
16,1,1668.0,371.0,159.84,362.7,1,-1,-1,-1
16,2,1336.0,500.0,67.474,153.11,1,-1,-1,-1
16,3,1834.0,532.0,36.723,83.333,1,-1,-1,-1
16,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
16,5,1619.0,396.0,159.84,362.7,1,-1,-1,-1
17,1,1666.0,385.0,146.62,332.71,1,-1,-1,-1
17,2,1711.0,408.0,146.62,332.71,1,-1,-1,-1
17,3,1336.0,500.0,67.474,153.11,1,-1,-1,-1
17,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
18,1,1666.0,408.0,146.62,332.71,1,-1,-1,-1
18,2,1836.0,541.0,33.737,76.557,1,-1,-1,-1
18,3,1350.0,503.0,61.514,139.59,1,-1,-1,-1
18,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
18,5,1594.0,396.0,159.84,362.7,1,-1,-1,-1
19,1,1666.0,408.0,146.62,332.71,1,-1,-1,-1
19,2,1836.0,541.0,33.737,76.557,1,-1,-1,-1
19,3,1350.0,503.0,61.514,139.59,1,-1,-1,-1
19,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
19,5,1594.0,396.0,159.84,362.7,1,-1,-1,-1
20,1,1643.0,371.0,159.84,362.7,1,-1,-1,-1
20,2,1308.0,474.0,87.838,199.32,1,-1,-1,-1
20,3,1349.0,490.0,73.864,167.61,1,-1,-1,-1
20,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
20,5,1594.0,396.0,159.84,362.7,1,-1,-1,-1
21,1,1643.0,371.0,159.84,362.7,1,-1,-1,-1
21,2,1594.0,396.0,159.84,362.7,1,-1,-1,-1
21,3,1349.0,490.0,73.864,167.61,1,-1,-1,-1
21,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
21,5,1692.0,396.0,159.84,362.7,1,-1,-1,-1
22,1,1643.0,396.0,159.84,362.7,1,-1,-1,-1
22,2,1594.0,371.0,159.84,362.7,1,-1,-1,-1
22,3,1349.0,490.0,73.864,167.61,1,-1,-1,-1
22,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
22,5,1792.0,456.0,73.864,167.61,1,-1,-1,-1
23,1,1643.0,354.0,175.68,398.65,1,-1,-1,-1
23,2,1589.0,381.0,175.68,398.65,1,-1,-1,-1
23,3,1315.0,468.0,73.864,167.61,1,-1,-1,-1
23,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
23,5,1792.0,456.0,73.864,167.61,1,-1,-1,-1
24,1,1668.0,371.0,159.84,362.7,1,-1,-1,-1
24,2,1619.0,396.0,159.84,362.7,1,-1,-1,-1
24,3,1326.0,479.0,73.864,167.61,1,-1,-1,-1
24,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
24,5,1804.0,475.0,61.514,139.59,1,-1,-1,-1
25,1,1668.0,371.0,159.84,362.7,1,-1,-1,-1
25,2,1619.0,396.0,159.84,362.7,1,-1,-1,-1
25,3,1326.0,479.0,73.864,167.61,1,-1,-1,-1
25,4,-10.0,254.0,270.83,614.58,1,-1,-1,-1
25,5,1843.0,357.0,79.918,181.35,1,-1,-1,-1
26,1,1668.0,371.0,159.84,362.7,1,-1,-1,-1
26,2,1619.0,396.0,159.84,362.7,1,-1,-1,-1
26,3,1326.0,479.0,73.864,167.61,1,-1,-1,-1
26,4,-52.0,254.0,270.83,614.58,1,-1,-1,-1
26,5,1843.0,357.0,79.918,181.35,1,-1,-1,-1
27,1,1670.0,381.0,175.68,398.65,1,-1,-1,-1
27,2,1616.0,354.0,175.68,398.65,1,-1,-1,-1
27,3,1326.0,479.0,73.864,167.61,1,-1,-1,-1
27,4,1349.0,490.0,73.864,167.61,1,-1,-1,-1
27,5,107.0,565.0,146.62,332.71,1,-1,-1,-1
28,1,1798.0,489.0,52.0,118.0,1,-1,-1,-1
28,2,1616.0,354.0,175.68,398.65,1,-1,-1,-1
28,3,1308.0,461.0,87.838,199.32,1,-1,-1,-1
28,4,1349.0,490.0,73.864,167.61,1,-1,-1,-1
28,5,31.0,254.0,270.83,614.58,1,-1,-1,-1
29,1,1689.0,430.0,146.62,332.71,1,-1,-1,-1
29,2,1619.0,371.0,159.84,362.7,1,-1,-1,-1
29,3,1308.0,461.0,87.838,199.32,1,-1,-1,-1
29,4,1349.0,490.0,73.864,167.61,1,-1,-1,-1
29,5,31.0,254.0,270.83,614.58,1,-1,-1,-1
30,1,1757.0,513.0,61.514,139.59,1,-1,-1,-1
30,2,1616.0,354.0,175.68,398.65,1,-1,-1,-1
30,3,1281.0,431.0,103.17,234.13,1,-1,-1,-1
30,4,1339.0,480.0,79.918,181.35,1,-1,-1,-1
30,5,31.0,254.0,270.83,614.58,1,-1,-1,-1
31,1,1815.0,549.0,26.0,59.0,1,-1,-1,-1
31,2,1616.0,354.0,175.68,398.65,1,-1,-1,-1
31,3,1326.0,479.0,73.864,167.61,1,-1,-1,-1
31,4,1873.0,374.0,36.723,83.333,1,-1,-1,-1
31,5,31.0,254.0,270.83,614.58,1,-1,-1,-1
32,1,1689.0,430.0,146.62,332.71,1,-1,-1,-1
32,2,1619.0,396.0,159.84,362.7,1,-1,-1,-1
32,3,1308.0,461.0,87.838,199.32,1,-1,-1,-1
32,4,1752.0,290.0,207.45,470.74,1,-1,-1,-1
32,5,1349.0,490.0,73.864,167.61,1,-1,-1,-1
33,1,1692.0,420.0,159.84,362.7,1,-1,-1,-1
33,2,1616.0,354.0,175.68,398.65,1,-1,-1,-1
33,3,1295.0,461.0,87.838,199.32,1,-1,-1,-1
33,4,1339.0,480.0,79.918,181.35,1,-1,-1,-1
33,5,73.0,254.0,270.83,614.58,1,-1,-1,-1
34,1,1692.0,396.0,159.84,362.7,1,-1,-1,-1
34,2,1616.0,354.0,175.68,398.65,1,-1,-1,-1
34,3,1308.0,461.0,87.838,199.32,1,-1,-1,-1
34,4,1752.0,290.0,207.45,470.74,1,-1,-1,-1
34,5,73.0,254.0,270.83,614.58,1,-1,-1,-1
35,1,1670.0,381.0,175.68,398.65,1,-1,-1,-1
35,2,1616.0,354.0,175.68,398.65,1,-1,-1,-1
35,3,1308.0,461.0,87.838,199.32,1,-1,-1,-1
35,4,1349.0,490.0,73.864,167.61,1,-1,-1,-1
35,5,135.0,647.0,113.37,257.27,1,-1,-1,-1
36,1,1670.0,381.0,175.68,398.65,1,-1,-1,-1
36,2,1616.0,354.0,175.68,398.65,1,-1,-1,-1
36,3,1308.0,461.0,87.838,199.32,1,-1,-1,-1
36,4,1752.0,290.0,207.45,470.74,1,-1,-1,-1
36,5,1349.0,490.0,73.864,167.61,1,-1,-1,-1
37,1,1670.0,381.0,175.68,398.65,1,-1,-1,-1
37,2,1616.0,354.0,175.68,398.65,1,-1,-1,-1
37,3,1310.0,545.0,52.0,118.0,1,-1,-1,-1
37,4,1752.0,290.0,207.45,470.74,1,-1,-1,-1
37,5,1332.0,463.0,33.737,76.557,1,-1,-1,-1
38,1,1670.0,381.0,175.68,398.65,1,-1,-1,-1
38,2,1616.0,354.0,175.68,398.65,1,-1,-1,-1
38,3,1308.0,461.0,87.838,199.32,1,-1,-1,-1
38,4,1752.0,290.0,207.45,470.74,1,-1,-1,-1
38,5,155.0,669.0,103.17,234.13,1,-1,-1,-1
39,1,1752.0,290.0,207.45,470.74,1,-1,-1,-1
